# 抽取翻译表：<原文>\t<英文>\t<资源名>
# 由 tools/i18n/extract.py 使用；同一个字面量在全局共用一个资源。
# 原文列必须与源码里的字符串**逐字一致**（含 \n 这类转义），否则工具会跳过它。

沉浸式翻译	Immersive translation	translate_title
自动翻译正文	Auto-translate article text	translate_auto_toggle
沉浸式翻译的总开关：开启后进入自述文件等正文页会自动开始翻译，页面上出现可移动悬浮球（点开是翻译工具菜单）；关闭后不进正文页翻译，页面上的悬浮球也会收起。	Master switch for immersive translation: when on, article pages such as README start translating automatically and a draggable floating button appears (tap it for the translation tools). When off, article pages are not translated and the floating button is hidden.	translate_auto_toggle_desc
翻译服务	Translation service	translate_service_section
sk-…（platform.deepseek.com 申请）	sk-… (get one at platform.deepseek.com)	translate_key_placeholder
隐藏	Hide	action_hide
显示	Show	action_show
模型（可留空用默认）	Model (leave blank for the default)	translate_model_label
接入地址（可留空用官方）	Endpoint (leave blank for the official one)	translate_base_url_label
测试中…	Testing…	translate_testing
保存并测试连接	Save and test connection	translate_save_and_test
Key 只保存在 App 私有目录，不会注入网页、不写日志；建议使用设置了额度上限的 Key。\n接口为 OpenAI 兼容格式，接入地址可填中转或自建网关（例如 https://你的域名/v1）。	The key is stored only in the app's private directory — it is never injected into web pages and never written to logs. A key with a spending limit is recommended.\nThe API is OpenAI-compatible, so the endpoint may be a proxy or a self-hosted gateway (for example https://your-domain/v1).	translate_key_note
目标语言	Target language	translate_target_language
中英混排	Mixed Chinese/English	translate_mix_section
只翻外语片段	Foreign phrases only	translate_mix_match
中文段落里的英文短语单独翻译，按「短语 → 译文」对照展示；段内没有值得翻的内容就整段跳过，不会再插一张与原文重复的卡片（推荐）	English phrases inside a Chinese paragraph are translated on their own and shown as “phrase → translation” pairs; paragraphs with nothing worth translating are skipped instead of getting a card that repeats the original (recommended)	translate_mix_match_desc
整段一起翻	Translate the whole paragraph	translate_mix_whole
含中文的段落整段送去翻译（中文会被再翻一遍，译文质量反而更差，仅用于对照）	Send the whole paragraph containing Chinese to be translated (the Chinese gets translated again and the result is worse — for comparison only)	translate_mix_whole_desc
中英混排不翻	Skip mixed paragraphs	translate_mix_skip
含中文的段落一律不翻，只翻外语段落（最省额度，也最保守）	Never translate paragraphs that contain Chinese; only fully foreign paragraphs are translated (saves the most quota and is the most conservative)	translate_mix_skip_desc
本次运行判定：跳过 %1$s 段 · 匹配翻译 %2$s 段（%3$s 对片段）	This run: %1$s skipped · %2$s paragraphs matched (%3$s phrase pairs)	translate_decision_stats
显示方式	Display mode	translate_display_mode
原文 + 译文对照	Original + translation	translate_mode_dual
译文插在每段原文下方，原文保持不动（推荐）	The translation is inserted under each paragraph and the original stays in place (recommended)	translate_mode_dual_desc
仅显示译文	Translation only	translate_mode_only
隐藏原文，只留译文（小屏快速浏览用，可随时切回对照）	Hide the original and keep only the translation (for quick reading on a small screen; you can switch back at any time)	translate_mode_only_desc
译文样式	Translation style	translate_style_section
卡片	Card	translate_style_card
蓝色左边框 + 浅灰底，边界最清楚（默认）	Blue left border on a light grey background — the clearest boundary (default)	translate_style_card_desc
下划线	Underline	translate_style_underline
无底色，只用虚线下划线标出译文	No background; the translation is marked with a dashed underline only	translate_style_underline_desc
淡灰	Subtle grey	translate_style_plain
无边框无底色，最不打扰阅读	No border and no background — the least distracting	translate_style_plain_desc
翻译质量	Translation quality	translate_quality_section
保护代码与链接	Protect code and links	translate_guard_toggle
翻译前把 URL、@提及、#编号、提交 SHA 等标记临时占位，译完原样还原；避免它们被机器翻译改写（默认开启）。	Before translating, markers such as URLs, @mentions, #numbers and commit SHAs are temporarily replaced by placeholders and restored afterwards, so machine translation cannot rewrite them (on by default).	translate_guard_toggle_desc
译文缓存	Translation cache	translate_cache_section
本地缓存	On-disk cache	translate_cache_disk_toggle
把译文落盘，重开 App 后同一段不再重复翻译（关闭只是不再读写磁盘，不清除已存内容）。	Store translations on disk so the same passage is not translated again after a restart (turning this off only stops reading and writing the disk; it does not clear what is already stored).	translate_cache_disk_toggle_desc
清空译文缓存	Clear translation cache	translate_cache_clear
内存 ${stats.memoryCount} 段 / 本地 ${stats.diskCount} 段	In memory: %1$s segments / On disk: %2$s segments	translate_cache_stats
清空	Clear	action_clear
已清空译文缓存	Translation cache cleared	translate_cache_cleared
说明	Notes	translate_notes_section
• 生效范围：自述文件（README）、Issue / PR 主帖、发布说明等**正文页**（评论区为 Compose 原生渲染，暂不在范围内）。\n• **开启入口只有本页的「自动翻译正文」**：开着时正文页会出现可移动悬浮球（可拖动），单击展开「翻译工具菜单」——显示进度（已译 / 候选段数、字符数）、常用开关与「翻译全文 / 清空本页译文」等操作，点面板外任意位置或右上角「×」收起为悬浮球。面板里的「本页翻译」开关一关，悬浮球立刻收起（不翻译时页面不留控件）；要再打开，回到本页开总开关。菜单里的开关与本页读写同一份设置，改哪边都是新的（Key / 模型 / 接入地址只能在**本页**改）。\n• 整页候选文本少于 5000 字符时一次翻完，更长时按视口滚动逐段翻译（省额度）。\n• 翻译服务：MyMemory 免费匿名（额度约 5000 词/天）；DeepSeek 需要你自己的 API Key，按 token 计费。服务不可用时（额度用尽 / Key 无效 / 连续失败）会自动暂停，并在悬浮球与工具菜单上给出提示。\n• 隐私：只把**正文段落文本**发往你选择的服务；DeepSeek 的 Key 存于应用私有目录、不注入网页、不写日志。正文里出现的 URL / @提及 / #编号 / 提交 SHA 会先占位保护、译后还原。	• Scope: article pages such as README files, issue / PR bodies and release notes (comments are rendered natively by Compose and are not covered yet).\n• The only entry point is “Auto-translate article text” on this page: while it is on, article pages show a draggable floating button. Tap it to open the translation tools — progress (translated / candidate segments, character count), the common switches, and actions such as “Translate all” and “Clear this page”. Tap anywhere outside the panel or the × in its top-right corner to collapse it back into the button. Turning off “Translate this page” in the panel hides the button immediately, so no control is left on the page when nothing is being translated; to bring it back, turn the master switch on again here. The switches in the panel and on this page read and write the same settings, so either side is always current (the key, model and endpoint can only be changed on this page).\n• Pages with fewer than 5000 candidate characters are translated in one go; longer pages are translated segment by segment as you scroll (to save quota).\n• Services: MyMemory is free and anonymous (about 5000 words per day); DeepSeek requires your own API key and is billed per token. When a service is unavailable (quota exhausted, invalid key, repeated failures) translation pauses automatically and a hint appears on the floating button and in the tools panel.\n• Privacy: only the text of article paragraphs is sent to the service you choose. The DeepSeek key is stored in the app's private directory, is not injected into web pages and is not written to logs. URLs, @mentions, #numbers and commit SHAs in the text are placeholder-protected first and restored after translation.	translate_notes_body
连接正常	Connection OK	translate_test_ok
取消	Cancel	action_cancel
引擎不可用	Engine unavailable	error_engine_unavailable
返回	Back	action_back
删除	Delete	action_delete
加载失败	Failed to load	error_load_failed
已完成	Completed	state_completed
刷新	Refresh	action_refresh
在浏览器打开	Open in browser	action_open_in_browser
执行中…	Running…	state_running
提交	Commit	action_commit
更多	More	action_more
重试	Retry	action_retry
全部	All	filter_all
任务	Tasks	nav_tasks
删除失败：$err	Delete failed: %1$s	error_delete_failed
发布	Releases	nav_releases
处理方式	What to do	label_handling
草稿	Draft	label_draft
请先勾选二次确认	Tick the confirmation box first	error_confirm_required
保存	Save	action_save
关闭	Close	action_close
分支同步	Branch sync	nav_branch_sync
分支管理	Branch management	nav_branch_manage
刚刚	Just now	relative_just_now
安全警报	Security alerts	nav_security_alerts
提交失败（引擎不可用）	Commit failed (engine unavailable)	error_commit_failed_engine
收起	Collapse	action_collapse
日志	Logs	nav_logs
本地仓库	Local repository	nav_local_repo
校验中…	Checking…	state_checking
类型	Type	label_type
设置	Settings	nav_settings
请输入提交信息	Enter a commit message	error_commit_message_required
保存中…	Saving…	state_saving
分享	Share	action_share
切换并拉取	Switch and pull	action_switch_and_pull
复刻	Fork	action_fork
完成	Done	state_done
密钥登录	Sign in with an access key	login_access_key
对比分支	Compare branches	action_compare_branches
已读	Read	state_read
提交信息	Commit message	label_commit_message
提交失败	Commit failed	error_commit_failed
放弃本地提交	Discard local commit	action_discard_local_commit
未设置	Not set	state_not_set
确定	OK	action_ok
编辑	Edit	action_edit
缺少工作流文件路径	Missing workflow file path	error_missing_workflow_path
过滤	Filter	action_filter
退出登录	Sign out	action_sign_out
通知	Notifications	nav_notifications
默认分支	Default branch	label_default_branch
Git 代理	Git proxy	nav_git_proxy
GitHub 第三方客户端	Third-party GitHub client	app_tagline
reset --hard origin/$branch 后重试 pull。本地 ${status?.ahead ?: 0} 个未推送提交永久丢失。	Retry pull after reset --hard origin/%1$s. The %2$s unpushed local commit(s) will be lost permanently.	confirm_reset_hard_loss
下载	Downloads	nav_downloads
不可用	Unavailable	state_unavailable
丢弃草稿	Discard draft	action_discard_draft
仍要删除	Delete anyway	action_delete_anyway
仍要提交	Commit anyway	action_commit_anyway
仓库凭据	Repository credentials	nav_repo_credentials
代理地址	Proxy address	label_proxy_address
代码	Code	nav_code
代码已复制	Code copied	toast_code_copied
位置	Location	label_location
保存失败：$err	Save failed: %1$s	error_save_failed
保存草稿	Save draft	action_save_draft
保护分支与命名规则由远端在创建分支、开 PR 时校验，本地不做承诺。	Protection rules and naming conventions are enforced by the remote when creating a branch or opening a PR; nothing is promised locally.	note_branch_rules
保留本地	Keep local	action_keep_local
修改提交信息	Edit commit message	action_edit_commit_message
先推送再删	Push first, then delete	action_push_then_delete
全部级别	All levels	filter_all_levels
关于	About	nav_about
分叉	Diverged	state_diverged
分支名，如 feature/login	Branch name, e.g. feature/login	hint_branch_name
创建 revert 提交	Create revert commit	action_create_revert
删除仓库	Delete repository	action_delete_repo
删除分支 $target？	Delete branch %1$s?	confirm_delete_branch
删除本地仓库	Delete local repository	action_delete_local_repo
加载中	Loading	state_loading
加载中…	Loading…	state_loading_ellipsis
匹配	Match	label_match
取消编辑	Cancel editing	action_cancel_edit
受保护	Protected	state_protected
图片	Image	label_image
复制日志	Copy logs	action_copy_logs
复制远端为新文件	Copy remote as a new file	action_copy_remote_as_new
复制链接	Copy link	action_copy_link
安装	Install	action_install
导入的文件存在哪？	Where are imported files stored?	faq_imported_files_location
已上传	Uploaded	state_uploaded
已删除分支 $b	Deleted branch %1$s	toast_branch_deleted
已提交 $sha	Committed %1$s	toast_committed
已星标	Starred	state_starred
当前	Current	label_current
恢复草稿	Restore draft	action_restore_draft
执行工作流	Run workflow	action_run_workflow
授权登录	Sign in with OAuth	login_oauth
推送	Push	action_push
推送 $name	Push %1$s	action_push_branch
提交失败：$reason	Commit failed: %1$s	error_commit_failed_reason
